food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,complete_meal,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,Health_Label_Diabetes,Health_Label_Obesity,Health_Label_HighBP,Health_Label_LowBP,complete_meal,Type
ASC047,Cracked wheat porridge (Meetha daliya),asc_manual,341.086853,81.56513977,8.870967865,2.642679691,4.080645084,5.117866039,0.6203473806,1828.163818,1007.444153,870.9677124,0,75.88088989,59.92059326,5.176178932,15.89330101,71.43920898,0.3215880692,0.02111662552,0.5893300176,0.002481389558,0.006203474011,0,0.2066997439,0,0.747146368,0,0,0.07816377282,0,4.3610425,0.01861042343,0.06823821366,0.04962779209,0.2109181136,0.02481389605,1.228287816,4.3610425,1.246898293,124.0694809,1,0,1,1,1,1
ASC048,Semolina porridge (Suji/Rava daliya),asc_manual,423.0575562,100.8943558,12.38705063,3.750359535,4.082014084,7.537769794,0.69928056,2440.746094,1096.571167,147.4820099,0,108.5165482,95.42446136,10.22949696,23.20575523,123.9928055,0.3550359905,0.06352517754,1.640647531,0.004028777126,0.1514388472,0.006474819966,0.4528777003,0,0.2122302204,0.5892086625,0,0.08633093536,0,8.169425011,0.04784172773,0.1017985642,0.1532374024,0.3597122431,0.04388489202,1.81223011,8.169425011,1.807554007,199.7122345,1,0,1,1,1,1
ASC050,Oatmeal Porridge,asc_manual,306.4572754,72.85364532,8.766331673,2.595477343,3.221105576,5.197236061,0.3919597864,1764.698486,918.8442383,246.9849243,0.01507537626,76.83416748,80.12060547,10.96984959,16.14321709,91.03015137,0.2811557651,0.03984924778,0.7474874258,0.002512562787,0.1902009994,0,0.3248743713,0,0.1678391993,0,0,0,0,6.023869514,0.07160803676,0.07160804421,0.09045226127,0.2512562871,0.04221105576,2.198492289,6.023869514,1.262562871,125.6281433,1,0,1,1,1,1
ASC051,Cornflakes with milk,asc_manual,493.7050476,117.3266144,14.94820118,3.591367006,5.119424343,9.973381042,0.7769784331,2784.820068,1530.431641,370.575531,0,106.474823,108.4259033,14.97553921,26.54820061,132.8777008,0.4244604409,0.06172661856,1.467625856,0.00345323747,0.2363309413,0,0.4604316354,0,0.3388489187,0,0,0,0,15.78129482,0.1359712183,0.2093525082,0.5007194281,0.3280575573,0.05287769809,2.669784069,15.78129482,1.735251784,172.6618652,1,0,1,0,1,1
ASC052,Rice flakes (Chiwda/Aval),asc_manual,471.3669128,112.4402847,15.56870461,3.617266178,3.990647316,7.279856205,0.3733812869,2367.625732,1093.920898,181.4028778,0,103.1500015,104.4330978,15.61438847,22.40215874,115.3956833,0.6165468097,0.05741007254,0.8201438785,0.008848920465,0.1046762541,0.01762589999,0.4485611618,0,0.1953237355,0,0,0.1079136729,0,6.982014179,0.03884891793,0.09928057343,0.241726622,0.3453237414,0.03669064865,1.751438737,6.982014179,1.735251784,176.2888489,1,0,1,1,0,1
ASC053,Wheat flakes,asc_manual,471.3669128,112.4402847,15.56870461,3.617266178,3.990647316,7.279856205,0.3733812869,2367.625732,1093.920898,181.4028778,0,103.1500015,104.4330978,15.61438847,22.40215874,115.3956833,0.6165468097,0.05741007254,0.8201438785,0.008848920465,0.1046762541,0.01762589999,0.4485611618,0,0.1953237355,0,0,0.1079136729,0,6.982014179,0.03884891793,0.09928057343,0.241726622,0.3453237414,0.03669064865,1.751438737,6.982014179,1.735251784,176.2888489,1,0,1,1,0,1
ASC054,Murmura (Puffed rice),asc_manual,475.0359802,113.3171921,15.66906452,3.620503426,4.042446136,7.31223011,0.2762590051,2342.032959,1052.349365,123.9712296,0,103.7866974,99.79280853,14.17589951,22.52194214,114.5323715,0.6262590289,0.05633093417,0.8201438785,0.006474820431,0.1068345308,0.01223021559,0.4442445934,0,0.1942446083,0,0,0.1079136729,0,6.069064617,0.03776978329,0.09928057343,0.2708632946,0.3345323801,0.04208632931,1.845323682,6.069064617,1.735251784,178.107193,1,0,1,1,0,1
ASC055,Puffed wheat (Murmure/Moori),asc_manual,475.0359802,113.3171921,15.66906452,3.620503426,4.042446136,7.31223011,0.2762590051,2342.032959,1052.349365,123.9712296,0,103.7866974,99.79280853,14.17589951,22.52194214,114.5323715,0.6262590289,0.05633093417,0.8201438785,0.006474820431,0.1068345308,0.01223021559,0.4442445934,0,0.1942446083,0,0,0.1079136729,0,6.069064617,0.03776978329,0.09928057343,0.2708632946,0.3345323801,0.04208632931,1.845323682,6.069064617,1.735251784,178.107193,1,0,1,1,0,1
ASC065,Vegetable pancake,asc_manual,520.5524902,125.1763458,12.23516846,3.865659475,6.57317543,2.085040569,2.477165937,2574.501709,1578.669312,1920.97998,19.31519318,42.88562393,63.24744034,19.9054966,116.6941986,230.7176666,0.7856636643,0.08876867592,2.071177959,0.003307725303,0.207814768,0.0100298766,0.4790183604,35.16815948,1.53783834,4.209240437,0.02975672297,13.93694019,0.5175544024,24.38959122,0.08636576682,0.057445582,0.5514852405,0.4599274397,0.1014852747,2.480119467,24.38959122,17.6067009,1985.42041,0,1,2,2,0,1
ASC066,Jam and fruit pancake,asc_manual,675.4348145,162.0184326,20.7275753,3.791611433,7.008038521,7.847491264,1.208665848,1792.722168,1632.640503,3082.63501,23.09235954,54.05626678,68.54142761,11.90047836,93.0852356,110.4230347,0.5184796453,0.05912961066,2.930840015,0.004123907536,0.4142227471,0.008361839689,0.3702698648,12.49258804,2.535522699,1.074781418,0.05299885944,1.003800869,0.9218016267,12.79508591,0.051866211,0.07015963644,0.1857696623,0.3643557429,0.06891296059,2.249274015,12.79508591,9.850247383,146.3267822,0,1,0,0,0,1
